Year,TowNumber,TimStart,TimEnd,GridLine,GridStation,LatitudeStart,LongitudeStart,DepthMaximumM,EsuperbaNum,EsuperbaVol,EcrystalNum,EcrystalVol,EfrigidaNum,EfrigidaVol,ThysanoeNum,ThysanoeVol,SalpSolNum,SalpSolVol,SalpAggNum,SalpAggVol,YearDigs,ADCP_StartFile,ADCP_StartIdx,ADCP_EndFile,ADCP_EndIdx,TowID,idx1,idx2,SST
2006,11,2199.75,2199.777083,600.0,140.0,64.3266,65.9503,121.0,0.085,0.102,0.0,0.0,,,11.563,0.808,0.0,0.0,0.51,0.51,6,lg2006_007_64800_nb150_tim.csv,57.0,lg2006_007_64800_nb150_tim.csv,2363.0,62,273187.0,275493.0,1.5672943938735293
2006,13,2199.971528,2199.993056,600.0,160.0,64.2047,66.2477,120.0,2.872,4.309,0.0,0.0,,,6.297,0.331,0.0,0.0,0.331,0.663,6,lg2006_007_79200_nb150_tim.csv,4727.0,lg2006_007_79200_nb150_tim.csv,6560.0,63,292045.0,293878.0,1.933701835695798
2006,15,2200.271528,2200.290278,600.0,180.0,64.0879,66.559,123.0,0.0,0.0,0.0,0.0,,,3.531,0.523,0.0,0.0,24.065,43.834,6,lg2006_008_21600_nb150_tim.csv,1890.0,lg2006_008_21600_nb150_tim.csv,3486.0,64,317584.0,319180.0,2.1500030265080694
2006,17,2200.65,2200.688889,600.0,200.0,63.9631,66.848,120.0,0.544,0.605,0.0,0.0,,,119.771,14.474,0.0,0.0,1.088,21.463,6,lg2006_008_50400_nb150_tim.csv,5732.0,lg2006_008_57600_nb150_tim.csv,1948.0,65,349801.0,353111.0,2.281161129567971
2006,19,2200.952778,2200.995833,600.0,220.0,63.8389,67.1196,121.0,0.0,0.0,0.0,0.0,,,1.67,0.278,0.557,0.552,244.856,311.274,6,lg2006_008_79200_nb150_tim.csv,3131.0,lg2006_008_79200_nb150_tim.csv,6796.0,66,375574.0,379239.0,2.0795950172760596
2006,21,2202.06875,2202.095139,500.0,140.0,64.9879,67.3945,120.0,1.362,1.634,0.0,0.0,,,19.337,1.816,0.0,0.0,0.454,0.635,6,lg2006_010_00000_nb150_tim.csv,5909.0,lg2006_010_07200_nb150_tim.csv,1063.0,67,470572.0,472819.0,1.7478784104388705
2006,23,2202.321528,2202.342361,500.0,220.0,64.4757,68.5547,120.0,1.291,4.304,0.0,0.0,,,0.968,0.108,0.0,0.0,50.787,50.572,6,lg2006_010_21600_nb150_tim.csv,6146.0,lg2006_010_28800_nb150_tim.csv,826.0,68,492090.0,493863.0,2.193010146564457
2006,24,2202.665972,2202.684028,500.0,200.0,64.5991,68.2823,121.0,57.365,159.079,0.0,0.0,,,4.912,0.439,0.0,0.0,0.702,10.526,6,lg2006_010_50400_nb150_tim.csv,7092.0,lg2006_010_57600_nb150_tim.csv,1536.0,69,521411.0,522948.0,1.7128735370597874
2006,26,2202.838889,2202.860417,500.0,180.0,64.7284,67.9729,120.0,10.597,17.454,0.0,0.0,,,100.359,8.104,0.0,0.0,0.0,0.0,6,lg2006_010_72000_nb150_tim.csv,530.0,lg2006_010_72000_nb150_tim.csv,2363.0,70,536130.0,537963.0,1.9013291530351435
2006,28,2203.001389,2203.025694,500.0,160.0,64.8613,67.7131,121.0,11.891,21.62,0.0,0.0,,,102.805,7.243,0.0,0.0,0.0,0.0,6,lg2006_011_00000_nb150_tim.csv,176.0,lg2006_011_00000_nb150_tim.csv,2245.0,71,549963.0,552032.0,1.7630815619917215
2006,30,2203.197917,2203.229861,500.0,120.0,65.1141,67.0908,121.0,17.649,32.623,0.0,0.0,,,63.579,2.988,0.0,0.0,4.447,0.591,6,lg2006_011_14400_nb150_tim.csv,2719.0,lg2006_011_14400_nb150_tim.csv,5438.0,72,566694.0,569413.0,1.7946444852938455
2006,32,2204.225,2204.251389,500.0,60.0,65.4824,66.1544,119.0,347.805,250.132,0.0,0.0,,,679.431,51.521,0.0,0.0,0.0,0.0,6,lg2006_012_14400_nb150_tim.csv,5024.0,lg2006_012_21600_nb150_tim.csv,176.0,73,654129.0,656375.0,0.8738473520247438
2006,34,2204.696528,2204.715278,550.0,0.0,65.5018,64.4648,121.0,4.188,3.35,0.838,0.168,,,8.878,0.67,0.0,0.0,0.0,0.0,6,lg2006_012_57600_nb150_tim.csv,2600.0,lg2006_012_57600_nb150_tim.csv,4196.0,74,694271.0,695867.0,-0.21498465873492
2006,36,2204.981944,2205.011111,585.0,10.0,65.2119,64.1398,122.0,2.15,1.032,64.754,4.988,,,5.676,0.473,0.0,0.0,0.0,0.0,6,lg2006_012_79200_nb150_tim.csv,5618.0,lg2006_013_00000_nb150_tim.csv,1004.0,75,718573.0,721056.0,0.09643713096989923
2006,38,2206.476389,2206.494444,500.0,80.0,65.3524,66.4447,122.0,2.41,5.723,0.151,0.03,,,96.392,6.175,0.0,0.0,0.0,0.0,6,lg2006_014_36000_nb150_tim.csv,5143.0,lg2006_014_36000_nb150_tim.csv,6680.0,76,845801.0,847338.0,1.1688772214986163
2006,40,2206.64375,2206.666667,500.0,100.0,65.2304,66.7544,121.0,7.81,12.239,0.0,0.0,,,71.802,4.429,0.0,0.0,0.0,0.0,6,lg2006_014_50400_nb150_tim.csv,5205.0,lg2006_014_57600_nb150_tim.csv,59.0,77,860051.0,862003.0,1.4018963987020323
2006,42,2207.214583,2207.242361,400.0,200.0,65.2467,69.796,120.0,14.379,24.875,0.0,0.0,,,122.972,11.578,0.0,0.0,68.629,24.65,6,lg2006_015_14400_nb150_tim.csv,4138.0,lg2006_015_14400_nb150_tim.csv,6502.0,78,908646.0,911010.0,2.2123741367158494
2006,44,2207.664583,2207.684028,400.0,180.0,65.3707,69.5075,124.0,41.03,51.122,0.0,0.0,,,131.589,7.038,0.0,0.0,0.0,0.0,6,lg2006_015_50400_nb150_tim.csv,6975.0,lg2006_015_57600_nb150_tim.csv,1537.0,79,946951.0,948607.0,1.7727923958998446
2006,46,2207.959722,2207.989583,400.0,140.0,65.6299,68.8753,138.0,45.596,85.757,0.0,0.0,,,105.914,6.385,0.0,0.0,0.0,0.0,6,lg2006_015_79200_nb150_tim.csv,3724.0,lg2006_015_79200_nb150_tim.csv,6266.0,80,972075.0,974617.0,1.1626534932490988
2006,48,2208.100694,2208.122222,400.0,160.0,65.5006,69.2048,121.0,0.59,0.413,0.0,0.0,,,595.95,27.762,0.0,0.0,0.0,0.0,6,lg2006_016_07200_nb150_tim.csv,1538.0,lg2006_016_07200_nb150_tim.csv,3371.0,81,984077.0,985910.0,22.070545127693183
2006,50,2208.295833,2208.322917,400.0,120.0,65.7591,68.5751,119.0,4.914,8.736,0.0,0.0,,,26.299,1.183,0.0,0.0,0.0,0.0,6,lg2006_016_21600_nb150_tim.csv,3961.0,lg2006_016_21600_nb150_tim.csv,6266.0,82,1000689.0,1002994.0,1.393332393755566
2006,52,2208.574306,2208.600694,400.0,100.0,65.8821,68.2803,121.0,9.906,12.94,0.357,0.089,,,47.833,3.659,0.0,0.0,0.0,0.0,6,lg2006_016_43200_nb150_tim.csv,6385.0,lg2006_016_50400_nb150_tim.csv,1537.0,83,1024394.0,1026641.0,0.26816414590854276
2006,54,2208.789583,2208.809028,400.0,80.0,66.0111,67.9589,122.0,17.607,26.31,1.01,0.216,,,30.308,6.668,0.0,0.0,0.0,0.0,6,lg2006_016_64800_nb150_tim.csv,3429.0,lg2006_016_64800_nb150_tim.csv,5084.0,84,1042720.0,1044375.0,0.6551830716582429
2006,56,2208.977083,2209.000694,400.0,60.0,66.1366,67.6375,121.0,4.058,4.348,0.0,0.0,,,87.927,5.991,0.0,0.0,0.0,0.0,6,lg2006_016_79200_nb150_tim.csv,5207.0,lg2006_017_00000_nb150_tim.csv,119.0,85,1058686.0,1060697.0,0.5288503147784647
2006,58,2210.214583,2210.240278,400.0,40.0,66.2578,67.3443,120.0,32.607,27.948,19.098,3.186,,,141.605,8.589,0.0,0.0,0.0,0.0,6,lg2006_018_14400_nb150_tim.csv,4138.0,lg2006_018_14400_nb150_tim.csv,6326.0,86,1164037.0,1166225.0,0.008497944266097747
2006,60,2210.720833,2210.745833,300.0,40.0,66.89,68.9102,121.0,1.121,0.275,1.835,0.357,,,12.948,0.765,0.0,0.0,0.0,0.0,6,lg2006_018_57600_nb150_tim.csv,4671.0,lg2006_018_57600_nb150_tim.csv,6799.0,87,1207136.0,1209264.0,0.36290997338300685
